,0,1,2
0,180,202,219
1,181,203,220
2,180,202,219
3,181,203,220
4,180,202,219
5,179,201,218
6,177,199,216
7,177,199,216
8,177,199,216
9,178,200,217
10,179,201,218
11,180,202,219
12,180,202,219
13,180,202,219
14,181,203,220
15,181,203,220
16,180,202,219
17,181,203,220
18,181,203,220
19,181,203,220
20,179,201,218
21,180,202,219
22,181,203,220
23,180,202,219
24,180,202,219
25,180,202,219
26,179,201,218
27,179,201,218
28,180,202,219
29,181,203,220
30,181,203,220
31,181,203,220
32,182,204,221
33,182,204,221
34,182,204,221
35,182,204,221
36,182,204,221
37,182,204,221
38,182,204,221
39,181,203,220
40,181,203,220
41,181,203,220
42,181,203,220
43,182,204,221
44,181,203,220
45,181,203,220
46,181,203,220
47,181,203,220
48,180,202,219
49,177,199,216
50,178,200,217
51,179,201,218
52,180,202,219
53,181,203,220
54,180,202,219
55,181,203,220
56,181,203,220
57,179,201,218
58,181,203,220
59,181,203,220
60,181,203,220
61,179,201,218
62,181,203,220
63,182,204,221
64,182,204,221
65,182,204,221
66,182,204,221
67,181,203,220
68,181,203,220
69,179,201,218
70,179,201,218
71,180,203,220
72,183,205,222
73,177,199,218
74,173,195,214
75,177,199,218
76,182,204,223
77,180,203,221
78,181,204,222
79,167,190,208
80,164,189,207
81,174,199,217
82,166,191,209
83,169,194,212
84,176,201,219
85,178,201,219
86,182,205,223
87,183,206,224
88,166,188,207
89,153,175,194
90,166,187,206
91,168,190,208
92,137,159,176
93,85,107,126
94,41,60,79
95,38,56,75
96,62,80,102
97,71,87,110
98,49,64,87
99,29,42,66
100,14,27,51
101,41,53,76
102,63,74,97
103,55,68,91
104,52,66,89
105,56,70,94
106,53,67,92
107,53,67,94
108,35,48,75
109,53,65,92
110,60,73,100
111,47,59,87
112,28,39,66
113,41,53,78
114,36,48,72
115,42,54,78
116,38,50,72
117,37,49,71
118,31,43,64
119,42,51,74
120,52,56,82
121,36,39,66
122,19,23,49
123,14,21,45
124,18,25,49
125,18,25,47
126,10,18,39
127,11,18,39
128,12,20,41
129,17,25,46
130,18,25,47
131,14,21,43
132,20,28,51
133,38,45,69
134,41,48,72
135,31,38,63
136,53,59,84
137,55,62,86
138,59,64,89
139,52,56,81
140,37,42,67
141,27,32,56
142,26,30,55
143,23,28,52
144,18,22,47
145,25,29,54
146,30,34,58
147,21,26,48
148,20,26,46
149,32,38,58
150,15,22,41
151,15,20,39
152,18,25,42
153,23,30,47
154,14,22,37
155,15,22,37
156,18,25,41
157,41,48,66
158,43,51,69
159,19,26,44
160,24,31,49
161,18,25,43
162,11,18,36
163,10,17,35
164,14,22,40
165,21,28,45
166,41,48,64
167,35,43,58
168,24,32,46
169,12,20,33
170,14,22,34
171,11,19,30
172,9,17,28
173,6,15,25
174,9,19,27
175,13,19,30
176,15,20,31
177,14,19,30
178,11,16,28
179,12,17,29
180,14,19,31
181,15,20,32
182,13,18,30
183,16,21,33
184,19,24,39
185,13,19,35
186,13,19,35
187,32,39,54
188,38,46,61
189,18,27,42
190,17,28,43
191,30,44,58
192,29,43,57
193,18,32,47
194,43,57,73
195,58,72,89
196,25,36,53
197,51,64,81
198,59,72,89
199,18,29,46
200,17,28,45
201,18,29,46
202,10,19,36
203,17,26,40
204,33,42,57
205,28,37,52
206,18,26,41
207,20,29,43
208,32,41,56
209,50,60,74
210,98,107,122
211,79,88,104
212,72,81,99
213,66,74,93
214,65,73,92
215,21,27,47
216,25,33,52
217,63,72,91
218,94,103,122
219,109,117,136
220,152,161,180
221,102,111,132
222,57,66,87
223,88,97,118
224,119,129,150
225,85,97,117
226,82,94,114
227,94,106,126
228,117,130,150
229,109,122,142
230,109,124,143
231,76,91,109
232,13,21,38
233,34,45,62
234,147,163,181
235,199,217,235
236,180,200,218
237,174,196,213
238,180,205,222
239,180,205,221
240,181,204,221
241,181,203,220
242,178,200,217
